EstacaoCodigo;Data;Maxima(cm);Minima(cm);Media(cm)
58429000;01/12/2017;98;56;72
58429000;01/11/2017;114;24;64
58429000;01/10/2017;76;14;54
58429000;01/09/2017;57;24;45
58429000;01/08/2017;67;52;59
58429000;01/07/2017;132;57;68
58429000;01/06/2017;94;63;71
58429000;01/05/2017;112;56;77
58429000;01/04/2017;137;72;92
58429000;01/03/2017;174;65;87
58429000;01/02/2017;144;62;86
58429000;01/01/2017;167;67;91
58429000;01/12/2016;230;72;110
58429000;01/11/2016;203;49;95
58429000;01/10/2016;89;49;57
58429000;01/09/2016;64;50;55
58429000;01/08/2016;61;49;54
58429000;01/07/2016;61;46;52
58429000;01/06/2016;117;59;69
58429000;01/05/2016;68;58;62
58429000;01/04/2016;103;60;70
58429000;01/03/2016;165;49;95
58429000;01/02/2016;157;67;97
58429000;01/01/2016;378;61;123
58429000;01/12/2015;160;57;78
58429000;01/11/2015;87;45;63
58429000;01/10/2015;54;19;39
58429000;01/09/2015;106;23;57
58429000;01/08/2015;53;21;37
58429000;01/07/2015;60;50;57
58429000;01/06/2015;92;20;55
58429000;01/05/2015;74;59;64
58429000;01/04/2015;103;60;71
58429000;01/03/2015;102;52;69
58429000;01/02/2015;109;55;68
58429000;01/01/2015;116;30;55
58429000;01/12/2014;;;
58429000;01/11/2014;146;50;63
58429000;01/10/2014;69;24;52
58429000;01/09/2014;;;
58429000;01/08/2014;;;
58429000;01/07/2014;64;57;61
58429000;01/06/2014;71;64;68
58429000;01/05/2014;;;
58429000;01/04/2014;;;
58429000;01/03/2014;119;56;72
58429000;01/02/2014;63;56;60
58429000;01/01/2014;128;65;79
58429000;01/12/2013;170;84;111
58429000;01/11/2013;128;58;77
58429000;01/10/2013;106;58;69
58429000;01/09/2013;;;
