Cidade,Plano diretor de abastecimento de Agua,Plano diretor integrado de saneamento basico,Dengue,Diarreia,Leptospirose,Verminoses,Colera,Difteria,Tifo,Malaria,Hepatite,Febre amarela,Dermatite,Doenca do aparelho respiratorio,modalidadeplanodiretor,soma_doencas,proporcao_doencas
Alta Floresta D'Oeste (RO),1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0.25
Ariquemes (RO),1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0
Cabixi (RO),0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0.3333333333333333
Cacoal (RO),0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0.16666666666666666
Cerejeiras (RO),0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0.3333333333333333
Colorado do Oeste (RO),0,1,1,1,0,1,0,0,0,0,1,0,1,0,2,5,0.4166666666666667
Corumbiara (RO),0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0.3333333333333333
Costa Marques (RO),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.08333333333333333
Espigão D'Oeste (RO),0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,3,0.25
Guajará-Mirim (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jaru (RO),1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,5,0.4166666666666667
Ji-Paraná (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Machadinho D'Oeste (RO),1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,4,0.3333333333333333
Nova Brasilândia D'Oeste (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Ouro Preto do Oeste (RO),0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0.25
Pimenta Bueno (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Porto Velho (RO),0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0.25
Presidente Médici (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Rio Crespo (RO),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Rolim de Moura (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Santa Luzia D'Oeste (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Vilhena (RO),1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,5,0.4166666666666667
São Miguel do Guaporé (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nova Mamoré (RO),1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0.25
Alvorada D'Oeste (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alto Alegre dos Parecis (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Alto Paraíso (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Buritis (RO),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Novo Horizonte do Oeste (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Cacaulândia (RO),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Campo Novo de Rondônia (RO),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Candeias do Jamari (RO),0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,4,0.3333333333333333
Castanheiras (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Chupinguaia (RO),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Cujubim (RO),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Governador Jorge Teixeira (RO),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Itapuã do Oeste (RO),0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,5,0.4166666666666667
Ministro Andreazza (RO),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0.25
Mirante da Serra (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Monte Negro (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Nova União (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Parecis (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pimenteiras do Oeste (RO),0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Primavera de Rondônia (RO),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0.25
São Felipe D'Oeste (RO),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
São Francisco do Guaporé (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Seringueiras (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Teixeirópolis (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Theobroma (RO),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Urupá (RO),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Vale do Anari (RO),1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.08333333333333333
Vale do Paraíso (RO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Acrelândia (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Assis Brasil (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Brasiléia (AC),0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,6,0.5
Bujari (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Capixaba (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cruzeiro do Sul (AC),0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,6,0.5
Epitaciolândia (AC),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Feijó (AC),0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,0.3333333333333333
Jordão (AC),0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,5,0.4166666666666667
Mâncio Lima (AC),0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0.3333333333333333
Manoel Urbano (AC),0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Marechal Thaumaturgo (AC),0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,6,0.5
Plácido de Castro (AC),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Porto Walter (AC),0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0.3333333333333333
Rio Branco (AC),1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,5,0.4166666666666667
Rodrigues Alves (AC),0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,0.3333333333333333
Santa Rosa do Purus (AC),0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0.25
Senador Guiomard (AC),0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,6,0.5
Sena Madureira (AC),0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,5,0.4166666666666667
Tarauacá (AC),0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,5,0.4166666666666667
Xapuri (AC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Porto Acre (AC),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Alvarães (AM),0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,6,0.5
Amaturá (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anamã (AM),0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,6,0.5
Anori (AM),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Apuí (AM),0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,5,0.4166666666666667
Atalaia do Norte (AM),0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0.25
Autazes (AM),0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,6,0.5
Barcelos (AM),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0.25
Barreirinha (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Benjamin Constant (AM),0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,5,0.4166666666666667
Beruri (AM),0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0.3333333333333333
Boa Vista do Ramos (AM),0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,0.3333333333333333
Boca do Acre (AM),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0.25
Borba (AM),1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,4,0.3333333333333333
Caapiranga (AM),0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0.3333333333333333
Canutama (AM),0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,6,0.5
Carauari (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Careiro (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Careiro da Várzea (AM),0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0.25
Coari (AM),0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,5,0.4166666666666667
Codajás (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Eirunepé (AM),0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0.25
Envira (AM),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Fonte Boa (AM),0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0.25
Guajará (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Humaitá (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ipixuna (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Iranduba (AM),0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0.25
Itacoatiara (AM),0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,4,0.3333333333333333
Itamarati (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Itapiranga (AM),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Japurá (AM),0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,5,0.4166666666666667
Juruá (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jutaí (AM),1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.08333333333333333
Lábrea (AM),0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,4,0.3333333333333333
Manacapuru (AM),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Manaquiri (AM),0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,5,0.4166666666666667
Manaus (AM),0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0.3333333333333333
Manicoré (AM),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08333333333333333
Maraã (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Maués (AM),0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4,0.3333333333333333
Nhamundá (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nova Olinda do Norte (AM),0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,0.3333333333333333
Novo Airão (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Novo Aripuanã (AM),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Parintins (AM),0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,5,0.4166666666666667
Pauini (AM),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,0.25
Presidente Figueiredo (AM),0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,0.25
Rio Preto da Eva (AM),0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4,0.3333333333333333
Santa Isabel do Rio Negro (AM),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08333333333333333
Santo Antônio do Içá (AM),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
São Gabriel da Cachoeira (AM),0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,6,0.5
São Paulo de Olivença (AM),0,1,0,1,0,1,0,0,0,1,1,0,0,0,2,4,0.3333333333333333
São Sebastião do Uatumã (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Silves (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Tabatinga (AM),0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,0.3333333333333333
Tapauá (AM),0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,5,0.4166666666666667
Tefé (AM),0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,6,0.5
Tonantins (AM),0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,4,0.3333333333333333
Uarini (AM),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Urucará (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Urucurituba (AM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Amajari (RR),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Alto Alegre (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Boa Vista (RR),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Bonfim (RR),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Cantá (RR),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Caracaraí (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Caroebe (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Iracema (RR),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Mucajaí (RR),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0.16666666666666666
Normandia (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Pacaraima (RR),0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4,0.3333333333333333
Rorainópolis (RR),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
São João da Baliza (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
São Luiz (RR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Uiramutã (RR),0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0.25
Abaetetuba (PA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Abel Figueiredo (PA),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Acará (PA),1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,3,0.25
Afuá (PA),0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,7,0.5833333333333334
Água Azul do Norte (PA),0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,6,0.5
Alenquer (PA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Almeirim (PA),1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,5,0.4166666666666667
Altamira (PA),0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Anajás (PA),0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,7,0.5833333333333334
Ananindeua (PA),0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,8,0.6666666666666666
Anapu (PA),0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0.25
Augusto Corrêa (PA),0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,5,0.4166666666666667
Aurora do Pará (PA),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08333333333333333
Aveiro (PA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bagre (PA),0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,6,0.5
Baião (PA),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Bannach (PA),0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,6,0.5
Barcarena (PA),0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4,0.3333333333333333
Belém (PA),0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,6,0.5
Belterra (PA),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Benevides (PA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bom Jesus do Tocantins (PA),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Bonito (PA),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0.16666666666666666
Bragança (PA),0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,7,0.5833333333333334
Brasil Novo (PA),0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,6,0.5
Brejo Grande do Araguaia (PA),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333
Breu Branco (PA),0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,4,0.3333333333333333
Breves (PA),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,5,0.4166666666666667
